2020-08-15 08:42:49.519 [main] INFO  [com.netflix.discovery.DiscoveryClient:980] [,] - Registered Applications size is zero : true
2020-08-15 08:42:49.519 [main] INFO  [com.netflix.discovery.DiscoveryClient:982] [,] - Application version is -1: true
2020-08-15 08:42:49.519 [main] INFO  [com.netflix.discovery.DiscoveryClient:1065] [,] - Getting all instance registry info from the eureka server
2020-08-15 08:42:49.680 [main] INFO  [com.netflix.discovery.DiscoveryClient:1074] [,] - The response status is 200
2020-08-15 08:42:49.683 [main] INFO  [com.netflix.discovery.DiscoveryClient:1288] [,] - Starting heartbeat executor: renew interval is: 30
2020-08-15 08:42:49.687 [main] INFO  [com.netflix.discovery.InstanceInfoReplicator:60] [,] - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-08-15 08:42:49.692 [main] INFO  [com.netflix.discovery.DiscoveryClient:465] [,] - Discovery Client initialized at timestamp 1597452169691 with initial instances count: 0
2020-08-15 08:42:49.703 [main] INFO  [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry:41] [,] - Registering application HOMEPAGE-GATEWAY with eureka with status UP
2020-08-15 08:42:49.704 [main] INFO  [com.netflix.discovery.DiscoveryClient:1323] [,] - Saw local status change event StatusChangeEvent [timestamp=1597452169703, current=UP, previous=STARTING]
2020-08-15 08:42:49.705 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient:844] [,] - DiscoveryClient_HOMEPAGE-GATEWAY/172.20.95.2:homepage-gateway:8003: registering service...
2020-08-15 08:42:49.708 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Starting ProtocolHandler ["http-nio-8003"]
2020-08-15 08:42:49.750 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220] [,] - Tomcat started on port(s): 8003 (http) with context path ''
2020-08-15 08:42:49.751 [main] INFO  [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration:145] [,] - Updating port to 8003
2020-08-15 08:42:49.811 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient:853] [,] - DiscoveryClient_HOMEPAGE-GATEWAY/172.20.95.2:homepage-gateway:8003 - registration status: 204
2020-08-15 08:42:50.420 [main] INFO  [com.swust.homepage.ZuulGatewayApplication:61] [,] - Started ZuulGatewayApplication in 18.083 seconds (JVM running for 20.677)
2020-08-15 08:42:52.329 [RMI TCP Connection(14)-172.20.95.2] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] [,] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-15 08:42:52.329 [RMI TCP Connection(14)-172.20.95.2] INFO  [org.springframework.web.servlet.DispatcherServlet:525] [,] - Initializing Servlet 'dispatcherServlet'
2020-08-15 08:42:52.352 [RMI TCP Connection(14)-172.20.95.2] INFO  [org.springframework.web.servlet.DispatcherServlet:547] [,] - Completed initialization in 22 ms
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:976] [,] - Disable delta property : false
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:977] [,] - Single vip registry refresh property : null
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:978] [,] - Force full registry fetch : false
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:979] [,] - Application is null : false
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:980] [,] - Registered Applications size is zero : true
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:982] [,] - Application version is -1: false
2020-08-15 08:43:19.685 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:1065] [,] - Getting all instance registry info from the eureka server
2020-08-15 08:43:19.727 [DiscoveryClient-CacheRefreshExecutor-0] INFO  [com.netflix.discovery.DiscoveryClient:1074] [,] - The response status is 200
2020-08-15 08:47:49.522 [AsyncResolver-bootstrap-executor-0] INFO  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
2020-08-15 08:52:49.525 [AsyncResolver-bootstrap-executor-0] INFO  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
2020-08-15 08:57:49.527 [AsyncResolver-bootstrap-executor-0] INFO  [com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
