2020-08-13 21:01:45.663 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:110] [,] - Setting the eureka configuration..
2020-08-13 21:01:45.663 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:115] [,] - Eureka data center value eureka.datacenter is not set, defaulting to default
2020-08-13 21:01:45.663 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:129] [,] - Eureka environment value eureka.environment is not set, defaulting to test
2020-08-13 21:01:45.680 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:188] [,] - isAws returned false
2020-08-13 21:01:45.680 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:153] [,] - Initialized server context
2020-08-13 21:01:45.681 [Thread-28] INFO  [com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl:241] [,] - Got 1 instances from neighboring DS node
2020-08-13 21:01:45.681 [Thread-28] INFO  [com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl:242] [,] - Renew threshold is: 1
2020-08-13 21:01:45.681 [Thread-28] INFO  [com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl:253] [,] - Changing status to UP
2020-08-13 21:01:45.688 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerInitializerConfiguration:72] [,] - Started Eureka Server
2020-08-13 21:01:45.697 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220] [,] - Tomcat started on port(s): 8000 (http) with context path ''
2020-08-13 21:01:45.698 [main] INFO  [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaAutoServiceRegistration:145] [,] - Updating port to 8000
2020-08-13 21:01:46.246 [main] INFO  [com.swust.homepage.EurekaApplication:61] [,] - Started EurekaApplication in 8.219 seconds (JVM running for 10.425)
2020-08-13 21:01:46.925 [RMI TCP Connection(1)-192.168.1.101] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] [,] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-08-13 21:01:46.925 [RMI TCP Connection(1)-192.168.1.101] INFO  [org.springframework.web.servlet.DispatcherServlet:525] [,] - Initializing Servlet 'dispatcherServlet'
2020-08-13 21:01:46.935 [RMI TCP Connection(1)-192.168.1.101] INFO  [org.springframework.web.servlet.DispatcherServlet:547] [,] - Completed initialization in 10 ms
2020-08-13 21:02:11.414 [http-nio-8000-exec-2] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:266] [,] - Registered instance HOMEPAGE-GATEWAY/DESKTOP-P8HKM53:homepage-gateway:8003 with status UP (replication=false)
2020-08-13 21:02:41.762 [http-nio-8000-exec-3] INFO  [org.springframework.cloud.config.server.environment.NativeEnvironmentRepository:278] [,] - Adding property source: classpath:/configs/course-dev.properties
2020-08-13 21:02:45.681 [Eureka-EvictionTimer] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
2020-08-13 21:02:48.902 [http-nio-8000-exec-7] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:266] [,] - Registered instance EUREKA-CLIENT-HOMEPAGE-COURSE/DESKTOP-P8HKM53:eureka-client-homepage-course:8001 with status UP (replication=false)
2020-08-13 21:03:45.682 [Eureka-EvictionTimer] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
2020-08-13 21:04:21.144 [http-nio-8000-exec-2] INFO  [org.springframework.cloud.config.server.environment.NativeEnvironmentRepository:278] [,] - Adding property source: classpath:/configs/user-dev.properties
2020-08-13 21:04:27.771 [http-nio-8000-exec-5] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:266] [,] - Registered instance EUREKA-CLIENT-HOMEPAGE-USER/DESKTOP-P8HKM53:eureka-client-homepage-user:8002 with status UP (replication=false)
2020-08-13 21:04:45.682 [Eureka-EvictionTimer] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
