2020-09-14 21:54:06.046 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:54:13.892 [main] INFO  [com.netflix.discovery.DiscoveryClient:1323] [,] - Saw local status change event StatusChangeEvent [timestamp=1600091653892, current=UP, previous=STARTING]
>2020-09-14 21:54:13.897 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Starting ProtocolHandler ["http-nio-8001"]
>2020-09-14 21:54:13.898 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient:844] [,] - DiscoveryClient_EUREKA-CLIENT-HOMEPAGE-COURSE/DESKTOP-P8HKM53:eureka-client-homepage-course:8001: registering service...
>2020-09-14 21:54:13.948 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer:220] [,] - Tomcat started on port(s): 8001 (http) with context path '/homepage-course'
>2020-09-14 21:54:13.950 [main] INFO  [o.s.c.n.e.s.EurekaAutoServiceRegistration:145] [,] - Updating port to 8001
>2020-09-14 21:54:13.955 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient:853] [,] - DiscoveryClient_EUREKA-CLIENT-HOMEPAGE-COURSE/DESKTOP-P8HKM53:eureka-client-homepage-course:8001 - registration status: 204
>2020-09-14 21:54:14.536 [main] INFO  [com.swust.homepage.HomepageCourseApplication:61] [,] - Started HomepageCourseApplication in 10.027 seconds (JVM running for 11.408)
>2020-09-14 21:54:14.537 [main] INFO  [com.swust.homepage.config.ApplicationRunnerImpl:19] [,] - --->eureka-client-homepage-course启动成功！
>2020-09-14 21:55:12.770 [http-nio-8001-exec-1] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/homepage-course]:173] [,] - Initializing Spring DispatcherServlet 'dispatcherServlet'
>2020-09-14 21:55:12.770 [http-nio-8001-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet:525] [,] - Initializing Servlet 'dispatcherServlet'
>2020-09-14 21:55:12.783 [http-nio-8001-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet:547] [,] - Completed initialization in 13 ms
>2020-09-14 21:55:12.803 [http-nio-8001-exec-1] INFO  [com.swust.homepage.filter.CourseFilter:19] [89dbe201bf1b7c01,964b7a4776291813] - CourseFilter--->/homepage-course/getCoursesByIds
>2020-09-14 21:55:12.890 [http-nio-8001-exec-1] INFO  [com.alibaba.druid.pool.DruidDataSource:928] [89dbe201bf1b7c01,964b7a4776291813] - {dataSource-1} inited
>2020-09-14 21:55:14.146 [http-nio-8001-exec-3] INFO  [com.swust.homepage.filter.CourseFilter:19] [b20ff5b3d03f80b7,ce2624ffdc57e39a] - CourseFilter--->/homepage-course/getCoursesByIds
>2020-09-14 21:56:10.365 [http-nio-8001-exec-4] INFO  [com.swust.homepage.filter.CourseFilter:19] [ccc804f4ff033def,8d63bf62527ad0bf] - CourseFilter--->/homepage-course/getCoursesByIds
>2020-09-14 21:59:13.648 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:04:13.650 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:09:13.653 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:14:13.656 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:19:13.662 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:24:13.664 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:27:44.665 [http-nio-8001-exec-5] INFO  [com.swust.homepage.filter.CourseFilter:19] [e32693b2e4211c03,aa77912913964d9a] - CourseFilter--->/homepage-course/getCoursesByIds
>2020-09-14 22:28:39.997 [http-nio-8001-exec-6] INFO  [com.swust.homepage.filter.CourseFilter:19] [b583d43fa4a41b39,17e5630af8802b44] - CourseFilter--->/homepage-course/getCoursesByIds
>2020-09-14 22:29:13.667 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 22:34:13.675 [AsyncResolver-bootstrap-executor-0] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>
