2020-09-14 21:52:50.815 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:52:56.687 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Starting ProtocolHandler ["http-nio-8000"]
>2020-09-14 21:52:56.688 [Thread-25] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap:115] [,] - Eureka data center value eureka.datacenter is not set, defaulting to default
>2020-09-14 21:52:56.688 [Thread-25] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap:129] [,] - Eureka environment value eureka.environment is not set, defaulting to test
>2020-09-14 21:52:56.711 [Thread-25] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap:188] [,] - isAws returned false
>2020-09-14 21:52:56.711 [Thread-25] INFO  [o.s.c.netflix.eureka.server.EurekaServerBootstrap:153] [,] - Initialized server context
>2020-09-14 21:52:56.711 [Thread-25] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl:241] [,] - Got 1 instances from neighboring DS node
>2020-09-14 21:52:56.712 [Thread-25] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl:242] [,] - Renew threshold is: 1
>2020-09-14 21:52:56.712 [Thread-25] INFO  [c.n.eureka.registry.PeerAwareInstanceRegistryImpl:253] [,] - Changing status to UP
>2020-09-14 21:52:56.721 [Thread-25] INFO  [o.s.c.n.e.s.EurekaServerInitializerConfiguration:72] [,] - Started Eureka Server
>2020-09-14 21:52:56.722 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer:220] [,] - Tomcat started on port(s): 8000 (http) with context path ''
>2020-09-14 21:52:56.723 [main] INFO  [o.s.c.n.e.s.EurekaAutoServiceRegistration:145] [,] - Updating port to 8000
>2020-09-14 21:52:57.135 [main] INFO  [com.swust.homepage.EurekaApplication:61] [,] - Started EurekaApplication in 7.767 seconds (JVM running for 9.378)
>2020-09-14 21:52:57.544 [RMI TCP Connection(1)-192.168.1.101] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173] [,] - Initializing Spring DispatcherServlet 'dispatcherServlet'
>2020-09-14 21:52:57.545 [RMI TCP Connection(1)-192.168.1.101] INFO  [org.springframework.web.servlet.DispatcherServlet:525] [,] - Initializing Servlet 'dispatcherServlet'
>2020-09-14 21:52:57.552 [RMI TCP Connection(1)-192.168.1.101] INFO  [org.springframework.web.servlet.DispatcherServlet:547] [,] - Completed initialization in 7 ms
>2020-09-14 21:53:18.705 [http-nio-8000-exec-3] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:266] [,] - Registered instance HOMEPAGE-GATEWAY/DESKTOP-P8HKM53:homepage-gateway:8003 with status UP (replication=false)
>2020-09-14 21:53:56.713 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
>2020-09-14 21:54:07.157 [http-nio-8000-exec-5] INFO  [o.s.c.c.s.environment.NativeEnvironmentRepository:278] [,] - Adding property source: classpath:/configs/course-dev.properties
>2020-09-14 21:54:13.953 [http-nio-8000-exec-7] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:266] [,] - Registered instance EUREKA-CLIENT-HOMEPAGE-COURSE/DESKTOP-P8HKM53:eureka-client-homepage-course:8001 with status UP (replication=false)
>2020-09-14 21:54:20.174 [http-nio-8000-exec-10] INFO  [o.s.c.c.s.environment.NativeEnvironmentRepository:278] [,] - Adding property source: classpath:/configs/user-dev.properties
>2020-09-14 21:54:26.610 [http-nio-8000-exec-3] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:266] [,] - Registered instance EUREKA-CLIENT-HOMEPAGE-USER/DESKTOP-P8HKM53:eureka-client-homepage-user:8002 with status UP (replication=false)
>2020-09-14 21:54:56.713 [Eureka-EvictionTimer] INFO  [c.netflix.eureka.registry.AbstractInstanceRegistry:1250] [,] - Running the evict task with compensationTime 0ms
